INST,number,Subspecies,Locality,lat,long,1DPL,1MD,1PPD,1DPD,2PPL,2DPL,2PPW,2DPW,4ML,4MW,4PPW,4DPW,5ML,5PPL,5MW,5PPW,BorneanLocality
USNM,488029,T. t. paitana,Mainland Borneo,6.016666667,116.8666667,3.5,0.97,0.92,1.58,6.37,4.81,1.03,1.51,10.36,1.04,1,1.33,7.17,5.25,1.07,0.87,Sabah
USNM,488030,T. t. paitana,Mainland Borneo,6,116.6833333,3.67,0.95,0.89,1.41,6.4,4.24,1.05,1.59,10.69,1.09,1.02,1.46,7.7,5.49,0.98,0.93,Sabah
USNM,488031,T. t. paitana,Mainland Borneo,6.016666667,116.8666667,2.88,1.05,0.95,1.3,6.32,4.48,1.02,1.52,11,1.11,1.09,1.41,7.31,4.89,1.1,1,Sabah
USNM,488032,T. t. paitana,Mainland Borneo,6.033333333,116.7166667,3.71,0.78,0.86,1.33,5.78,3.9,0.93,1.46,9.78,1,0.93,,6.66,4.72,0.98,0.91,Sabah
USNM,488033,T. t. paitana,Mainland Borneo,6.016666667,116.8666667,3.63,0.97,0.9,1.5,6.58,5.01,1.1,,10.65,0.98,1.02,1.44,7.24,5.3,0.99,0.95,Sabah
USNM,488035,T. t. paitana,Mainland Borneo,6.016666667,116.8666667,3.73,0.85,0.91,1.53,6.11,4.51,1,1.57,10.12,1.05,1.04,1.52,7.27,,0.93,0.94,Sabah
USNM,488037,T. t. paitana,Mainland Borneo,6,116.6833333,3.61,0.93,0.92,,6.24,,1.05,,10.48,1.02,1.07,1.47,7.35,5.01,1.15,1.01,Sabah
USNM,488039,T. t. paitana,Mainland Borneo,6.016666667,116.8666667,3.58,0.91,1,1.47,6.28,4.21,1.1,1.49,10.33,1.09,1.08,,7.22,,1.11,,Sabah
USNM,488040,T. t. paitana,Mainland Borneo,6,116.6833333,3.73,0.89,0.92,1.45,6,5.06,1.05,1.34,9.29,1.08,1.04,,6.48,5.04,1.17,0.98,Sabah
USNM,488043,T. t. paitana,Mainland Borneo,6.016666667,116.8666667,3.64,1.03,0.87,1.55,5.91,4.65,1.06,1.47,9.83,1.03,1.03,1.43,7.04,4.73,1.05,0.94,Sabah
USNM,488046,T. t. paitana,Mainland Borneo,6,116.6833333,3.37,0.87,0.9,1.42,5.75,4.71,1.03,1.45,10.03,1.19,1.01,1.58,7.15,4.76,1.08,0.9,Sabah
USNM,488047,T. t. paitana,Mainland Borneo,6,116.6833333,3.79,0.96,0.88,1.32,6.21,4.7,1.01,,10.01,0.95,0.97,1.37,6.92,4.99,0.88,0.87,Sabah
USNM,488049,T. t. paitana,Mainland Borneo,6.116666667,116.8,3.78,0.87,0.82,1.51,5.69,4.89,1.03,1.51,9.88,1.02,0.99,,6.93,4.92,1.1,0.9,Sabah
USNM,488050,T. t. paitana,Mainland Borneo,6.016666667,116.8666667,,0.84,,,5.41,4.8,1.03,1.45,10.31,1.14,1,1.56,6.81,4.76,1.18,0.98,Sabah
USNM,488051,T. t. paitana,Mainland Borneo,6,116.6833333,3.9,0.89,0.84,1.62,6.19,3.99,1.02,1.61,9.87,1.1,0.92,1.2,7.35,4.88,1.07,0.88,Sabah
USNM,104711,T. t. sirhassenensis,Offshore Islands,2.5,109.05,3.58,0.82,0.82,1.48,5.75,,0.86,,,0.99,0.92,,7.04,4.84,0.95,0.88,
USNM,104712,T. t. sirhassenensis,Offshore Islands,3.997138889,108.2495,3.77,0.8,0.78,1.33,5.53,4.4,0.87,1.39,,,0.84,,6.77,4.67,0.96,0.83,
USNM,104713,T. t. sirhassenensis,Offshore Islands,2.5,109.05,,0.9,0.82,,5.29,,0.91,,,0.81,0.85,,,4.35,0.83,0.77,
AMNH ,106103,T. t. tana,Mainland Borneo,-1.833333333,111.9,3.73,0.86,0.84,1.38,6.61,4.52,1.05,1.39,10.57,1.03,1.01,1.46,7.35,5.34,1.01,1.04,
USNM,145574,T. t. tana,Mainland Borneo,-1.05,110.1,4.29,0.92,1,1.44,6.63,4.65,1.15,1.57,,1.19,1.05,1.54,8.35,5.45,1.05,1.08,
USNM,151885,T. t. tana,Mainland Borneo,-3,116.2,3.34,0.89,0.84,1.49,6.06,4.16,0.99,,,1.05,0.99,1.37,7.62,4.91,1.01,0.95,
USNM,154340,T. t. tana,Mainland Borneo,-1.25,116.7166667,3.49,0.75,0.79,1.39,6.02,3.97,0.95,1.37,,1.07,0.92,,7.51,5.03,1.01,0.88,
USNM,154341,T. t. tana,Mainland Borneo,-2.55,116.4166667,3.28,0.88,0.96,,6.1,3.89,1.01,1.38,,1.03,0.96,1.4,7.27,,0.88,,
USNM,176403,T. t. tana,Mainland Borneo,2.183333333,117.4666667,3.2,0.9,0.86,,5.49,4.29,0.95,,9.57,0.93,0.91,1.21,6.51,4.43,0.85,0.86,
USNM,176405,T. t. tana,Mainland Borneo,2.183333333,117.4666667,3.32,0.77,0.82,,5.67,4.18,0.88,1.3,9.86,0.96,0.88,,6.51,,0.89,0.8,
USNM,176406,T. t. tana,Mainland Borneo,2.183333333,117.4666667,,0.76,0.83,,5.92,4.43,1,1.4,10.01,0.99,0.92,,6.94,4.75,1.1,0.96,
USNM,176407,T. t. tana,Mainland Borneo,2.183333333,117.4666667,3.4,0.77,0.77,1.41,5.99,4.04,0.9,1.57,9.99,1.04,0.96,,6.91,5,0.92,0.88,
USNM,176408,T. t. tana,Mainland Borneo,2.166666667,117.5,3.46,0.83,0.83,1.35,6.09,3.8,0.93,1.4,10.32,0.95,0.88,1.25,7.15,4.94,0.9,0.83,
USNM,176409,T. t. tana,Mainland Borneo,2.166666667,117.5,3.27,0.71,0.73,1.35,5.92,4,0.89,1.27,9.87,0.95,0.87,,7.08,4.78,0.92,0.87,
USNM,176410,T. t. tana,Mainland Borneo,2.166666667,117.5,3.74,0.85,0.82,,6.47,4.17,1.02,1.36,10.77,0.97,1,1.33,7.71,5.27,0.93,0.91,
