Museum,MuseumCat#,Subspecies,Locality,lat,long,type,Sex,CPL,CIL,UTL,MTL,PPL,MB,LB,LIB,ZB,BB,LPL,CNL,PBPL,LTPL,LCH,MCH,MCW,MCIL,LTL
USNM,317184,T. t. paitana,Mainland Borneo,5.966666667,116.6833333,,m,56.16,54.57,31.13,19.96,34.86,19.69,21.08,15.97,28.01,20.24,,56.25,43.83,31.84,,8.91,3.83,44.84,29.18
USNM,396660,T. t. paitana,Mainland Borneo,5.319944444,116.9516667,,m,57.69,56.27,33.69,21.62,37.04,18.76,21.11,15.05,27.07,,,,45.4,33.27,,9.23,3.97,46.81,31.34
USNM,396661,T. t. paitana,Mainland Borneo,5.319944444,116.9516667,,m,,,33,21.31,36.12,,22.05,15.33,27.55,20.04,61.37,,44.83,33.02,,10.46,3.78,46.83,31.06
USNM,396663,T. t. paitana,Mainland Borneo,5.319944444,116.9516667,,m,60.1,58.42,34.01,21.88,37.72,19.73,20.99,16.49,28.34,20.19,64.45,58.63,46.9,34.41,15.47,10.33,4.15,48.43,31.85
USNM,396671,T. t. paitana,Mainland Borneo,5.319944444,116.9516667,,f,56.47,55.12,32.49,21.48,35.96,18.53,19.96,14.31,26.62,20.54,59.79,55.41,44.17,32.19,13.88,9.51,3.57,45.75,31.06
USNM,449965,T. t. paitana,Mainland Borneo,6.083333333,116.7166667,,f,54.56,53.08,31.16,20.04,34.42,17.96,21.03,15.49,27.73,20.06,58.58,53.67,42.67,30.91,13.9,9.33,3.64,43.73,29.61
USNM,449966,T. t. paitana,Mainland Borneo,6.083333333,116.7166667,,f,51.72,50.3,29.35,19.51,32.59,17.88,20.3,14.77,26.73,19.68,56.53,51.38,40.75,28.83,13.03,10.04,4.16,42.16,27.61
USNM,449968,T. t. paitana,Mainland Borneo,6.083333333,116.7166667,,f,53.94,52.23,30.55,20.31,34.27,18.98,21,15.81,27.19,19.25,58.96,52,42.66,30.65,14.75,10.31,4,43.7,28.75
USNM,449969,T. t. paitana,Mainland Borneo,6.083333333,116.7166667,,m,55.04,53.85,31.39,20.72,34.44,19.56,21.46,15.8,28.19,20.36,59.09,53.88,43.3,31.23,13.83,9.55,4.02,44.82,29.45
USNM,488024,T. t. paitana,Mainland Borneo,6,116.6833333,,m,55.56,53.51,31.19,21.26,35.25,19.37,21.15,15.76,28.09,20.6,59.86,54.37,43.37,31.4,14.14,10.84,3.68,43.83,29.02
USNM,488025,T. t. paitana,Mainland Borneo,6,116.6833333,,f,52.4,50.8,29.74,19.77,33.01,17.85,19.41,14.01,26.54,19.83,55.59,51.18,41.16,29.43,13.48,9.11,3.55,41.89,28.04
USNM,488026,T. t. paitana,Mainland Borneo,6,116.6833333,,f,57.66,55.82,32.59,20.72,36.91,19.21,21.91,16.24,27.77,21.27,62.38,56.22,45.2,33.41,14,10.17,3.62,46.31,30.68
USNM,488027,T. t. paitana,Mainland Borneo,6,116.6833333,,f,55.01,53.71,32.1,21.3,34.82,19,19.59,15.34,26.4,20.9,59.7,53.96,43.15,31.4,13.94,9,3.51,43.86,30.01
USNM,488028,T. t. paitana,Mainland Borneo,6,116.6833333,,m,56.42,54.68,32.72,20.07,35.52,19.47,20.54,15.31,27.51,20.42,60.32,55.19,44.12,31.7,13.83,9.89,3.98,44.06,29.37
USNM,488029,T. t. paitana,Mainland Borneo,6.016666667,116.8666667,,m,56.39,54.55,30.81,20.61,34.85,18.35,19.85,14.79,26.52,20.57,59.44,55.52,43.04,31.34,14.25,9.08,3.35,44.64,29.26
USNM,488030,T. t. paitana,Mainland Borneo,6,116.6833333,,m,57.96,56.28,33.49,22.1,36.85,19.98,19.85,14.6,,20.46,62.12,56.37,45,33.2,14.49,9.89,3.52,46.95,31.38
USNM,488031,T. t. paitana,Mainland Borneo,6.016666667,116.8666667,,m,56.01,54.55,31.53,20.1,34.96,18.64,21.08,16.56,27.58,20.28,60.08,54.24,44.03,32.07,13.74,10.45,3.86,45.69,29.89
USNM,488032,T. t. paitana,Mainland Borneo,6.033333333,116.7166667,,m,53.5,51.69,30.88,20.25,33.37,18.52,20.93,16.18,26.99,20.88,57.92,53.2,42.31,31.02,13.81,9.07,3.62,42.84,28.9
USNM,488033,T. t. paitana,Mainland Borneo,6.016666667,116.8666667,,m,57.08,55.42,32.38,21.34,36.26,18.38,20.32,15.98,27.85,20.68,62.17,56.31,44.82,32.53,15.33,10.56,3.97,45.79,30.16
USNM,488035,T. t. paitana,Mainland Borneo,6.016666667,116.8666667,,f,53.52,52.41,30.66,19.94,34.21,18.42,20.16,15.41,27.19,19.87,58.24,52.49,41.97,30.11,13.84,10.78,3.76,43.07,28.39
USNM,488037,T. t. paitana,Mainland Borneo,6,116.6833333,,f,54.75,53.01,30.97,20.3,34.63,19.43,20.83,15.66,27.27,20.67,59.09,53.7,43.05,31.22,13.5,9.72,3.58,44.21,29.44
USNM,488039,T. t. paitana,Mainland Borneo,6.016666667,116.8666667,,m,53.18,52.28,30.3,20.08,33.15,17.68,20.59,16.03,25.71,20.25,57.6,52.46,41.5,29.6,13.21,9.55,3.4,42.78,28.51
