Museum,MuseumCat#,Subspecies,Locality,lat,long,type,Sex,MTL,PPL,LB,LIB,PBPL,LTPL,MCH,MCW
USNM,488035,paitana,Mainland Borneo,6.016666667,116.8666667,,f,19.94,34.21,20.16,15.41,41.97,30.11,10.78,3.76
USNM,488037,paitana,Mainland Borneo,6,116.6833333,,f,20.3,34.63,20.83,15.66,43.05,31.22,9.72,3.58
USNM,488039,paitana,Mainland Borneo,6.016666667,116.8666667,,m,20.08,33.15,20.59,16.03,41.5,29.6,9.55,3.4
USNM,488040,paitana,Mainland Borneo,6,116.6833333,,f,20.13,34.13,20.48,15.31,42.42,30.39,10.29,3.92
USNM,488043,paitana,Mainland Borneo,6.016666667,116.8666667,,f,19.5,31.74,20.52,15.37,40.09,28.8,10.09,3.62
USNM,488046,paitana,Mainland Borneo,6,116.6833333,,f,20.61,35.19,20.8,16.25,42.7,30.8,10.21,3.87
USNM,488047,paitana,Mainland Borneo,6,116.6833333,,m,20.92,34.35,20.12,16.21,42.74,30.32,10.25,3.97
USNM,488049,paitana,Mainland Borneo,6.116666667,116.8,,m,21.33,35.18,21.69,16.25,44.19,32.78,10.74,4.31
USNM,488050,paitana,Mainland Borneo,6.016666667,116.8666667,,m,20.6,33.76,20.07,15.79,42.04,29.87,9.26,3.71
USNM,488051,paitana,Mainland Borneo,6,116.6833333,,m,21.17,,21.16,15.01,,,9.42,3.38
USNM,34943,utara,Mainland Borneo,5.5,117,,sex unknown,21.65,35.54,19.96,15.37,43.72,32.13,10.19,3.64
BMNH,55.696,utara,Mainland Borneo,3.55,114.25,,f,19.47,33.74,20.27,14.54,42.11,30.11,9.02,3.5
BMNH,55.692,nitida,Mainland Borneo,1.766666667,110.8166667,,m,21.31,36.09,19.83,15.2,44.17,32.06,10.4,3.5
BMNH,55.693,nitida,Mainland Borneo,1.766666667,110.8166667,,m,21.8,,22.01,16.64,,,10.85,4.01
BMNH,55.694,nitida,Mainland Borneo,1.766666667,110.8166667,,m,21.83,36.4,20.94,15.82,44.87,32.73,10.42,3.87
BMNH,55.691,nitida,Mainland Borneo,1.9,111.9,,m,20.42,34.38,,13.24,,30.74,8.34,2.82
BMNH,55.695,utara,Mainland Borneo,3.55,114.25,,m,21.92,,20.46,15.56,,,9.49,3.57
AMNH,103409,tana,Mainland Borneo,2.716666667,117.2166667,,m,,35.09,20.08,14.85,43.11,32,8.76,3.38
AMNH,103410,tana,Mainland Borneo,2.716666667,117.2166667,,f,19.97,34.44,21.02,15.63,42.75,31.77,9.17,3.53
AMNH,103411,tana,Mainland Borneo,2.716666667,117.2166667,,m,19.61,34.51,,14.86,42.91,31.43,9.21,3.4
AMNH,106884,besara,Mainland Borneo,0.883333333,110.1666667,,f,20.57,34.77,19.24,14.6,42.82,31.64,9.65,3.67
AMNH,106993,besara,Mainland Borneo,0.883333333,110.1666667,,f,20.7,36.37,20.08,15.12,44.83,31.95,10.01,4.03
AMNH,106103,tana,Mainland Borneo,-1.833333333,111.9,,f,18.91,33.65,20.43,14.32,42.03,30.76,8.64,3.3
AMNH,103891,tana,Mainland Borneo,2.783333333,116.5833333,,f,19.72,32.5,20.42,14.67,40.68,29.68,9.28,3.31
AMNH,103895,tana,Mainland Borneo,2.783333333,116.5833333,,m,,34.02,20.05,14.42,42.56,30.83,8.81,3.27
MCZ,8726,utara,Mainland Borneo,,,,m,22.02,36.02,,,44.91,32.74,9.71,3.67
BMNH,71.2589,utara,Mainland Borneo,4.683333333,117.8166667,,f,20.91,34.25,19.81,14.91,42.16,30.53,10.05,3.51
BMNH,71.259,utara,Mainland Borneo,4.683333333,117.8166667,,m,21.72,37.04,19.95,15.91,44.66,32.81,9.88,3.96
BMNH,71.2592,utara,Mainland Borneo,4.683333333,117.8166667,,m,20.68,33.67,20.83,15.45,42.52,30.49,10.14,3.78
BMNH,71.2594,utara,Mainland Borneo,4.7,118.0333333,,f,21.21,34.45,19.14,14.21,42.45,30.6,9.28,3.58
BMNH,71.2598,utara,Mainland Borneo,4.7,118.0333333,,m,21.01,36.83,20.69,15.38,44.63,32.55,10.79,4.16
